Gene,Non-unique Gene name,Annotation,No. isolates,No. sequences,Avg sequences per isolate,Genome Fragment,Order within Fragment,Accessory Fragment,Accessory Order with Fragment,QC,Min group size nuc,Max group size nuc,Avg group size nuc,CR931662_Streptococcus_pneumoniae_strain_34359_serotype_14_fragmented,CR931663_Streptococcus_pneumoniae_strain_389_39_serotype_15a_fragmented,CR931664_Streptococcus_pneumoniae_strain_7904_39_serotype_15b_fragmented,CR931665_Streptococcus_pneumoniae_strain_553_62_serotype_15c_fragmented,CR931666_Streptococcus_pneumoniae_strain_688_63_serotype_15f_fragmented
CR9316621_cds_CAI333251_1,CR931662.1_cds_CAI33325.1_1,CR931662.1_cds_CAI33325.1_1 [gene=wchL] [locus_tag=SPC14_0012] [db_xref=GOA:Q4K1S2 InterPro:IPR001173 UniProtKB/TrEMBL:Q4K1S2] [protein=putative glycosyl transferase] [protein_id=CAI33325.1] [location=8270..9289] [gbkey=CDS],1,1,1.0,12,1,,,,825,825,825.0,0_0_41,,,,
CR9316631_cds_CAI333521_1,CR931663.1_cds_CAI33352.1_1,CR931663.1_cds_CAI33352.1_1 [gene=gtp3] [locus_tag=SPC15A_0020] [db_xref=GOA:Q4K1N0 InterPro:IPR005834 InterPro:IPR006357 UniProtKB/TrEMBL:Q4K1N0] [protein=putative phosphotransferase] [protein_id=CAI33352.1] [location=16840..17673] [gbkey=CDS],1,1,1.0,11,1,,,,834,834,834.0,,1_0_56,,,
CR9316651_cds_CAI333921_1,CR931665.1_cds_CAI33392.1_1,CR931665.1_cds_CAI33392.1_1 [gene=wchN] [locus_tag=SPC15C_0014] [db_xref=GOA:Q6X853 InterPro:IPR008441 UniProtKB/TrEMBL:Q6X853] [protein=putative glycosyl transferase] [protein_id=CAI33392.1] [location=10279..11187] [gbkey=CDS],1,1,1.0,10,1,,,,909,909,909.0,,,,3_0_61,
CR9316651_cds_CAI333951_1,CR931665.1_cds_CAI33395.1_1,CR931665.1_cds_CAI33395.1_1 [gene=wchX] [locus_tag=SPC15C_0017] [db_xref=GOA:Q6X850 InterPro:IPR007554 UniProtKB/TrEMBL:Q6X850] [protein=putative glycerol phosphotransferase] [protein_id=CAI33395.1] [location=14002..15150] [gbkey=CDS],1,1,1.0,9,1,,,,921,921,921.0,,,,3_0_87,
CR9316621_cds_CAI333291_1,CR931662.1_cds_CAI33329.1_1,CR931662.1_cds_CAI33329.1_1 [gene=wciY] [locus_tag=SPC14_0016] [db_xref=GOA:O07343 InterPro:IPR007554 UniProtKB/TrEMBL:O07343] [protein=putative glycerol phosphotransferase] [protein_id=CAI33329.1] [location=12636..13715] [gbkey=CDS],1,1,1.0,8,2,,,,168,168,168.0,0_0_53,,,,
CR9316621_cds_CAI333281_1,CR931662.1_cds_CAI33328.1_1,CR931662.1_cds_CAI33328.1_1 [gene=wzx] [locus_tag=SPC14_0015] [db_xref=GOA:O07342 InterPro:IPR002797 UniProtKB/TrEMBL:O07342] [protein=flippase Wzx] [protein_id=CAI33328.1] [location=11189..12652] [gbkey=CDS],1,1,1.0,8,1,,,,1002,1002,1002.0,0_0_85,,,,
CR9316621_cds_CAI333241_1,CR931662.1_cds_CAI33324.1_1,CR931662.1_cds_CAI33324.1_1 [gene=wzy] [locus_tag=SPC14_0011] [db_xref=UniProtKB/TrEMBL:P72516] [protein=oligosaccharide repeat unit polymerase Wzy] [protein_id=CAI33324.1] [location=7101..8273] [gbkey=CDS],1,1,1.0,6,1,,,,1098,1098,1098.0,0_0_51,,,,
CR9316641_cds_CAI333721_1,CR931664.1_cds_CAI33372.1_1,CR931664.1_cds_CAI33372.1_1 [gene=wchX] [locus_tag=SPC15B_0017] [db_xref=GOA:Q6X850 InterPro:IPR007554 UniProtKB/TrEMBL:Q6X850] [protein=putative glycerol phosphotransferase] [protein_id=CAI33372.1] [location=14000..15148] [gbkey=CDS],1,1,1.0,5,3,,,,171,171,171.0,,,,,4_0_42
CR9316661_cds_CAI334181_1,CR931666.1_cds_CAI33418.1_1,CR931666.1_cds_CAI33418.1_1 [gene=wchX] [locus_tag=SPC15F_0017] [db_xref=GOA:Q4K1J6 InterPro:IPR007554 UniProtKB/TrEMBL:Q4K1J6] [protein=putative glycerol phosphotransferase] [protein_id=CAI33418.1] [location=14385..15533] [gbkey=CDS],1,1,1.0,5,2,,,,1104,1104,1104.0,,,,,4_0_12
CR9316661_cds_CAI334171_1,CR931666.1_cds_CAI33417.1_1,CR931666.1_cds_CAI33417.1_1 [gene=wciZ] [locus_tag=SPC15F_0016] [db_xref=GOA:Q4K1J7 InterPro:IPR002656 UniProtKB/TrEMBL:Q4K1J7] [protein=putative acetyl transferase] [protein_id=CAI33417.1] [location=13406..14383] [gbkey=CDS],1,1,1.0,5,1,,,,978,978,978.0,,,,,4_0_25
CR9316641_cds_CAI333591_1,CR931664.1_cds_CAI33359.1_1,CR931664.1_cds_CAI33359.1_1 [gene=wzg] [locus_tag=SPC15B_0004] [db_xref=GOA:Q4K1M7 InterPro:IPR004190 InterPro:IPR004474 UniProtKB/TrEMBL:Q4K1M7] [protein=integral membrane regulatory protein Wzg] [protein_id=CAI33359.1] [location=1204..2649] [gbkey=CDS],1,1,1.0,3,1,,,,1350,1350,1350.0,,,,3_0_65,
group_0,CR931664.1_cds_CAI33371.1_1,CR931664.1_cds_CAI33371.1_1 [gene=wciZ] [locus_tag=SPC15B_0016] [db_xref=GOA:Q6X851 InterPro:IPR002656 UniProtKB/TrEMBL:Q6X851] [protein=putative acetyl transferase] [protein_id=CAI33371.1] [location=13021..13998] [gbkey=CDS],1,1,1.0,1,3,,,,462,462,462.0,,,,3_0_84,
CR9316641_cds_CAI333711_1,CR931664.1_cds_CAI33371.1_1,CR931664.1_cds_CAI33371.1_1 [gene=wciZ] [locus_tag=SPC15B_0016] [db_xref=GOA:Q6X851 InterPro:IPR002656 UniProtKB/TrEMBL:Q6X851] [protein=putative acetyl transferase] [protein_id=CAI33371.1] [location=13021..13998] [gbkey=CDS],1,1,1.0,1,2,,,,477,477,477.0,,,,3_0_2,
CR9316641_cds_CAI333701_1,CR931664.1_cds_CAI33370.1_1,CR931664.1_cds_CAI33370.1_1 [gene=wzx] [locus_tag=SPC15B_0015] [db_xref=GOA:Q6X852 InterPro:IPR002797 UniProtKB/TrEMBL:Q6X852] [protein=flippase Wzx] [protein_id=CAI33370.1] [location=11192..12655] [gbkey=CDS],1,1,1.0,1,1,,,,1428,1428,1428.0,,,,3_0_90,
